Ppv_sample	00	03	06	09	12	15	18	21
01/01/2099	0	0	20	60	100	70	30	0
02/01/2099	0	0	15	50	95	75	30	0
03/01/2099	0	0	15	55	100	70	30	0
04/01/2099	0	0	15	40	80	70	40	0
05/01/2099	0	0	10	60	100	70	40	0
06/01/2099	0	0	10	60	100	70	35	0
07/01/2099	0	0	10	60	70	70	20	0
08/01/2099	0	0	10	60	70	70	20	0
09/01/2099	0	0	10	50	60	50	20	0
10/01/2099	0	0	10	30	55	55	20	0
11/01/2099	0	0	10	60	70	70	20	0
12/01/2099	0	0	10	60	20	30	20	0
13/01/2099	0	0	10	15	30	50	20	0
14/01/2099	0	0	10	60	70	70	20	0
